Model,Method,Rank,Feature,ImportanceValue
Logistic Regression,Permutation Importance,1,Bet365AwayWinOddsPercentage,0.16962962235682347
Logistic Regression,Permutation Importance,2,AwayElo,0.061468606488561464
Logistic Regression,Permutation Importance,3,OddsFavourHome,0.03182614547851825
Logistic Regression,Permutation Importance,4,FifaAttackDifference,0.030222342351032133
Logistic Regression,Permutation Importance,5,EloDifference,0.02898491400949288
Logistic Regression,Permutation Importance,6,AwayFifaAttack,0.021444607205920268
Logistic Regression,Permutation Importance,7,HomeFifaOverall,0.01872550574289219
Logistic Regression,Permutation Importance,8,AwayFifaOverall,0.017642428060824354
Logistic Regression,Permutation Importance,9,OddsFavourAway,0.015646066139553383
Logistic Regression,Permutation Importance,10,EloTierAway,0.011870462225636213
Logistic Regression,Standardized Coefficients,1,Bet365AwayWinOddsPercentage,0.3851264632498908
Logistic Regression,Standardized Coefficients,2,AwayElo,0.1932333922682187
Logistic Regression,Standardized Coefficients,3,EloTierAway,0.16251700873807154
Logistic Regression,Standardized Coefficients,4,FifaAttackDifference,0.16121064698139398
Logistic Regression,Standardized Coefficients,5,OddsFavourHome,0.15475189440131232
Logistic Regression,Standardized Coefficients,6,OddsFavourAway,0.15325107504724025
Logistic Regression,Standardized Coefficients,7,AwayFifaAttack,0.14824599364686342
Logistic Regression,Standardized Coefficients,8,AwayFifaOverall,0.13099896655330268
Logistic Regression,Standardized Coefficients,9,FifaMidfieldDifference,0.1272892112852654
Logistic Regression,Standardized Coefficients,10,Bet365AwayWinOdds,0.11697479147855966
Random Forest,Permutation Importance,1,Bet365DrawOddsPercentage,0.04115512531223177
Random Forest,Permutation Importance,2,Bet365HomeWinOddsPercentage,0.03144870951472838
Random Forest,Permutation Importance,3,Bet365AwayWinOddsPercentage,0.010804235051778965
Random Forest,Permutation Importance,4,TotalGoalsConcededAway,0.0069037614289382794
Random Forest,Permutation Importance,5,Bet365AwayWinOdds,0.004096600762549118
Random Forest,Permutation Importance,6,HomeFifaAttack,0.003959614548548096
Random Forest,Permutation Importance,7,HomeGeneralForm,0.0018474818000753456
Random Forest,Permutation Importance,8,FifaDefenceDifference,0.001711193354838414
Random Forest,Permutation Importance,9,FifaAttackDifference,0.0007895256604983969
Random Forest,Permutation Importance,10,HomeFifaDefence,0.0006484046609220917
Random Forest,SHAP,1,Bet365HomeWinOddsPercentage,0.046367356122018144
Random Forest,SHAP,2,Bet365AwayWinOddsPercentage,0.022859726846842954
Random Forest,SHAP,3,Bet365DrawOddsPercentage,0.02200305442571532
Random Forest,SHAP,4,OddsDifference_HvA,0.01452334107124894
Random Forest,SHAP,5,EloDifference,0.012454148245161554
Random Forest,SHAP,6,Bet365AwayWinOdds,0.009183130766396824
Random Forest,SHAP,7,HomeElo,0.007253730500091766
Random Forest,SHAP,8,Bet365HomeWinOdds,0.005921960375508403
Random Forest,SHAP,9,AwayElo,0.003484104372817582
Random Forest,SHAP,10,TotalGoalsConcededAway,0.003270282072312145
XGBoost,Permutation Importance,1,TotalGoalsConcededAway,0.027398657446969916
XGBoost,Permutation Importance,2,OddsDifference_AvD,0.022191923059392715
XGBoost,Permutation Importance,3,Bet365DrawOddsPercentage,0.021373863247625517
XGBoost,Permutation Importance,4,Bet365AwayWinOddsPercentage,0.01936247063879596
XGBoost,Permutation Importance,5,TotalGoalsScoredHome,0.014206269967095375
XGBoost,Permutation Importance,6,HomeFifaAttack,0.01369829099004866
XGBoost,Permutation Importance,7,TotalWinsAway,0.013656796452200037
XGBoost,Permutation Importance,8,HomeFifaOverall,0.00985192153975896
XGBoost,Permutation Importance,9,OddsDifference_HvD,0.008782661256911553
XGBoost,Permutation Importance,10,TotalWinsHome,0.008029544328431037
XGBoost,SHAP,1,OddsDifference_HvD,0.11294886602706576
XGBoost,SHAP,2,Bet365AwayWinOddsPercentage,0.10576282667185037
XGBoost,SHAP,3,Bet365DrawOddsPercentage,0.06194109940985242
XGBoost,SHAP,4,EloDifference,0.05067179977067534
XGBoost,SHAP,5,OddsDifference_AvD,0.041818705249410275
XGBoost,SHAP,6,AverageShotsOnTargetAtAway,0.035414138423108234
XGBoost,SHAP,7,TotalGoalsConcededAway,0.034084896259511006
XGBoost,SHAP,8,AverageGoalsScoredAtHome,0.028285258788292758
XGBoost,SHAP,9,HomeElo,0.027418709153444642
XGBoost,SHAP,10,HFA,0.027255756941372274
